,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,win_rate,yield_rate
150,16,2,-10,2,-10,0.513392857,0.644999128
151,20,2,-10,2,-10,0.508928571,0.718432241
152,24,2,-10,2,-10,0.504464286,0.344819343
153,8,2,-10,4,-10,0.508928571,0.468355613
154,12,2,-10,4,-10,0.516741071,0.724637925
155,16,2,-10,4,-10,0.516741071,1.072426349
156,20,2,-10,4,-10,0.520089286,1.317288896
157,24,2,-10,4,-10,0.517857143,0.719160064
158,28,2,-10,4,-10,0.511160714,0.174229218
159,4,2,-10,6,-10,0.514508929,0.32549303
160,8,2,-10,6,-10,0.518973214,0.609675325
161,12,2,-10,6,-10,0.521205357,0.926362125
162,16,2,-10,6,-10,0.526785714,1.235534951
163,20,2,-10,6,-10,0.516741071,1.579931136
164,24,2,-10,6,-10,0.516741071,0.788294801
165,28,2,-10,6,-10,0.511160714,0.068425062
166,4,2,-10,8,-10,0.517857143,0.398766178
167,8,2,-10,8,-10,0.515625,0.646990359
168,12,2,-10,8,-10,0.517857143,0.964435162
169,16,2,-10,8,-10,0.5234375,1.070395587
170,20,2,-10,8,-10,0.521205357,1.456631475
171,24,2,-10,8,-10,0.522321429,0.370314987
172,8,2,-10,2,-8,0.508928571,0.218702178
173,12,2,-10,2,-8,0.508928571,0.395936746
174,16,2,-10,2,-8,0.513392857,0.649169937
175,20,2,-10,2,-8,0.508928571,0.736619132
176,24,2,-10,2,-8,0.506696429,0.388107948
177,8,2,-10,4,-8,0.511160714,0.46707771
178,12,2,-10,4,-8,0.512276786,0.695220761
179,16,2,-10,4,-8,0.516741071,1.086147989
180,20,2,-10,4,-8,0.522321429,1.345239572
181,24,2,-10,4,-8,0.517857143,0.773650837
182,28,2,-10,4,-8,0.512276786,0.291021418
183,4,2,-10,6,-8,0.516741071,0.319393707
184,8,2,-10,6,-8,0.520089286,0.569756225
185,12,2,-10,6,-8,0.520089286,0.892752421
186,16,2,-10,6,-8,0.520089286,1.194951605
187,20,2,-10,6,-8,0.515625,1.591836218
188,24,2,-10,6,-8,0.518973214,0.876546148
189,28,2,-10,6,-8,0.517857143,0.212594689
190,4,2,-10,8,-8,0.517857143,0.392544002
191,8,2,-10,8,-8,0.515625,0.609631783
192,12,2,-10,8,-8,0.524553571,0.863893079
193,16,2,-10,8,-8,0.516741071,0.959543327
194,20,2,-10,8,-8,0.521205357,1.371934382
195,24,2,-10,8,-8,0.517857143,0.402386776
196,8,2,-10,2,-6,0.508928571,0.217932788
197,12,2,-10,2,-6,0.508928571,0.376512669
198,16,2,-10,2,-6,0.512276786,0.661291782
199,20,2,-10,2,-6,0.510044643,0.778776935
200,24,2,-10,2,-6,0.510044643,0.434835228
201,28,2,-10,2,-6,0.502232143,0.249919265
202,8,2,-10,4,-6,0.512276786,0.423668129
203,12,2,-10,4,-6,0.514508929,0.665856348
204,16,2,-10,4,-6,0.524553571,1.046847432
205,20,2,-10,4,-6,0.515625,1.37428311
206,24,2,-10,4,-6,0.516741071,0.852000486
207,28,2,-10,4,-6,0.512276786,0.453865514
208,4,2,-10,6,-6,0.520089286,0.313238112
209,8,2,-10,6,-6,0.513392857,0.533644226
210,12,2,-10,6,-6,0.524553571,0.80378817
211,16,2,-10,6,-6,0.516741071,1.116219959
212,20,2,-10,6,-6,0.520089286,1.54138779
213,24,2,-10,6,-6,0.515625,0.934401673
214,28,2,-10,6,-6,0.513392857,0.380693277
215,4,2,-10,8,-6,0.513392857,0.386136596
216,8,2,-10,8,-6,0.517857143,0.593616869
217,12,2,-10,8,-6,0.525669643,0.757590254
218,16,2,-10,8,-6,0.515625,0.819549419
219,20,2,-10,8,-6,0.516741071,1.200343265
220,24,2,-10,8,-6,0.515625,0.383838254
221,8,2,-10,2,-4,0.508928571,0.21702558
222,12,2,-10,2,-4,0.508928571,0.342959745
223,16,2,-10,2,-4,0.511160714,0.678105702
224,20,2,-10,2,-4,0.515625,0.821809686
225,24,2,-10,2,-4,0.513392857,0.493116981
226,28,2,-10,2,-4,0.505580357,0.345784536
227,8,2,-10,4,-4,0.514508929,0.388783886
228,12,2,-10,4,-4,0.516741071,0.600496525
229,16,2,-10,4,-4,0.522321429,0.999301985
230,20,2,-10,4,-4,0.518973214,1.365496559
231,24,2,-10,4,-4,0.518973214,0.947466646
232,28,2,-10,4,-4,0.508928571,0.629455541
233,32,2,-10,4,-4,0.513392857,0.177039625
234,4,2,-10,6,-4,0.520089286,0.306897765
235,8,2,-10,6,-4,0.515625,0.518892851
236,12,2,-10,6,-4,0.525669643,0.703707208
237,16,2,-10,6,-4,0.517857143,0.980504274
238,20,2,-10,6,-4,0.515625,1.382313689
239,24,2,-10,6,-4,0.516741071,0.90628593
240,28,2,-10,6,-4,0.515625,0.513776675
241,4,2,-10,8,-4,0.513392857,0.379202507
242,8,2,-10,8,-4,0.5234375,0.547947492
243,12,2,-10,8,-4,0.518973214,0.586152321
244,16,2,-10,8,-4,0.513392857,0.579072353
245,20,2,-10,8,-4,0.510044643,0.897766101
246,24,2,-10,8,-4,0.513392857,0.064736878
247,8,2,-10,2,-2,0.508928571,0.17866272
248,12,2,-10,2,-2,0.505580357,0.299624422
249,16,2,-10,2,-2,0.517857143,0.643398677
250,20,2,-10,2,-2,0.518973214,0.844688547
251,24,2,-10,2,-2,0.512276786,0.58244202
252,28,2,-10,2,-2,0.5078125,0.496583989
253,32,2,-10,2,-2,0.503348214,0.428596457
254,36,2,-10,2,-2,0.503348214,0.324068555
255,8,2,-10,4,-2,0.510044643,0.36131225
256,12,2,-10,4,-2,0.522321429,0.493917607
257,16,2,-10,4,-2,0.516741071,0.864685037
258,20,2,-10,4,-2,0.513392857,1.184443794
259,24,2,-10,4,-2,0.517857143,0.878897595
260,28,2,-10,4,-2,0.515625,0.669518965
261,32,2,-10,4,-2,0.520089286,0.177980623
262,4,2,-10,6,-2,0.515625,0.295268836
263,8,2,-10,6,-2,0.521205357,0.463888833
264,12,2,-10,6,-2,0.517857143,0.54740632
265,16,2,-10,6,-2,0.514508929,0.70657838
266,20,2,-10,6,-2,0.512276786,1.081166831
267,24,2,-10,6,-2,0.517857143,0.515784072
268,28,2,-10,6,-2,0.521205357,0.178612436
269,4,2,-10,8,-2,0.513392857,0.36730302
270,8,2,-10,8,-2,0.5234375,0.491986182
271,12,2,-10,8,-2,0.516741071,0.420011471
272,16,2,-10,8,-2,0.508928571,0.225452924
273,20,2,-10,8,-2,0.514508929,0.492208576
274,8,2,-10,2,0,0.505580357,0.144388602
275,12,2,-10,2,0,0.504464286,0.205151245
276,16,2,-10,2,0,0.515625,0.480809153
277,20,2,-10,2,0,0.505580357,0.65442014
278,24,2,-10,2,0,0.506696429,0.36861333
279,28,2,-10,2,0,0.512276786,0.280725309
280,32,2,-10,2,0,0.506696429,0.211750537
281,36,2,-10,2,0,0.513392857,0.127192136
282,4,2,-10,4,0,0.502232143,0.198269356
283,8,2,-10,4,0,0.516741071,0.315140254
284,12,2,-10,4,0,0.516741071,0.361270242
285,16,2,-10,4,0,0.506696429,0.567154162
286,20,2,-10,4,0,0.511160714,0.882194005
287,24,2,-10,4,0,0.529017857,0.377428182
288,28,2,-10,4,0,0.516741071,0.095465878
289,4,2,-10,6,0,0.515625,0.29357818
290,8,2,-10,6,0,0.524553571,0.415367976
291,12,2,-10,6,0,0.522321429,0.385627691
292,16,2,-10,6,0,0.515625,0.36816656
293,20,2,-10,6,0,0.524553571,0.677630758
294,4,2,-10,8,0,0.513392857,0.364912535
295,8,2,-10,8,0,0.526785714,0.441267504
296,12,2,-10,8,0,0.522321429,0.237998516
297,20,2,-10,8,0,0.522321429,0.00148391
298,8,4,-10,2,-10,0.5078125,0.065735146
299,12,4,-10,2,-10,0.505580357,0.256753972
300,16,4,-10,2,-10,0.511160714,0.742806478
301,20,4,-10,2,-10,0.508928571,0.84130029
302,24,4,-10,2,-10,0.503348214,0.452985457
303,8,4,-10,4,-10,0.508928571,0.309243998
304,12,4,-10,4,-10,0.514508929,0.587607392
305,16,4,-10,4,-10,0.514508929,1.155603871
306,20,4,-10,4,-10,0.520089286,1.411826073
307,24,4,-10,4,-10,0.515625,0.762749827
308,28,4,-10,4,-10,0.510044643,0.182141167
309,4,4,-10,6,-10,0.512276786,0.256109612
310,8,4,-10,6,-10,0.517857143,0.447548123
311,12,4,-10,6,-10,0.517857143,0.781638799
312,16,4,-10,6,-10,0.525669643,1.298667199
313,20,4,-10,6,-10,0.515625,1.629015552
314,24,4,-10,6,-10,0.515625,0.760573484
315,28,4,-10,6,-10,0.510044643,-0.05350249
316,4,4,-10,8,-10,0.518973214,0.328833364
317,8,4,-10,8,-10,0.514508929,0.500820657
318,12,4,-10,8,-10,0.514508929,0.814637353
319,16,4,-10,8,-10,0.521205357,1.104241553
320,20,4,-10,8,-10,0.520089286,1.447448296
321,24,4,-10,8,-10,0.520089286,0.178736834
322,8,4,-10,2,-8,0.5078125,0.062374414
323,12,4,-10,2,-8,0.506696429,0.246496912
324,16,4,-10,2,-8,0.511160714,0.746977287
325,20,4,-10,2,-8,0.508928571,0.859487181
326,24,4,-10,2,-8,0.505580357,0.49627377
327,8,4,-10,4,-8,0.511160714,0.307966094
328,12,4,-10,4,-8,0.510044643,0.558190229
329,16,4,-10,4,-8,0.514508929,1.16932551
330,20,4,-10,4,-8,0.522321429,1.439776748
331,24,4,-10,4,-8,0.515625,0.817240311
332,28,4,-10,4,-8,0.511160714,0.298861306
333,4,4,-10,6,-8,0.514508929,0.250010289
334,8,4,-10,6,-8,0.518973214,0.407629023
335,12,4,-10,6,-8,0.516741071,0.748029095
336,16,4,-10,6,-8,0.518973214,1.258083853
337,20,4,-10,6,-8,0.514508929,1.640920634
338,24,4,-10,6,-8,0.517857143,0.848824548
339,28,4,-10,6,-8,0.516741071,0.090588152
340,4,4,-10,8,-8,0.518973214,0.322611188
341,8,4,-10,8,-8,0.514508929,0.463462081
342,12,4,-10,8,-8,0.521205357,0.714095271
343,16,4,-10,8,-8,0.514508929,0.993389293
344,20,4,-10,8,-8,0.520089286,1.362751203
345,24,4,-10,8,-8,0.515625,0.210808345
346,8,4,-10,2,-6,0.5078125,0.061605024
