,price_raw,state
2016/3/22,3225.7903,mb
2016/3/23,3236.0924,mb
2016/3/24,3181.8507,mb
2016/3/25,3197.8169,mb
2016/3/28,3169.7283,mb
2016/3/29,3135.4098,mb
2016/3/30,3216.2753,mb
2016/3/31,3218.0879,mb
2016/4/1,3221.8948,mb
2016/4/5,3264.4858,mb
2016/4/6,3257.5276,mb
2016/4/7,3209.2902,mb
2016/4/8,3185.7258,mb
2016/4/11,3230.0957,mb
2016/4/12,3218.4497,mb
2016/4/13,3261.3831,mb
2016/4/14,3275.8321,mb
2016/4/15,3272.2053,mb
2016/4/18,3228.4531,mb
2016/4/19,3238.3029,mb
2016/4/20,3181.0264,mb
2016/4/21,3160.6033,ml
2016/4/22,3174.9012,ml
2016/4/25,3162.0331,ml
2016/4/26,3179.1605,ml
2016/4/27,3165.9156,ml
2016/4/28,3160.5809,ml
2016/4/29,3156.7451,ml
2016/5/3,3213.5397,ml
2016/5/4,3209.4614,ml
2016/5/5,3213.9199,ml
2016/5/6,3130.3544,ml
2016/5/9,3065.6154,ml
2016/5/10,3069.1124,ml
2016/5/11,3082.8086,ml
2016/5/12,3090.1372,ml
2016/5/13,3074.9351,ml
2016/5/16,3095.3085,ml
2016/5/17,3086.0249,ml
2016/5/18,3068.0358,ml
2016/5/19,3062.5002,ml
2016/5/20,3078.2183,ml
2016/5/23,3087.2225,ml
2016/5/24,3063.5556,ml
2016/5/25,3059.2259,ml
2016/5/26,3064.2111,ml
2016/5/27,3062.4993,ml
2016/5/30,3066.7095,ml
2016/5/31,3169.5598,ml
2016/6/1,3160.547,ml
2016/6/2,3167.0997,ml
2016/6/3,3189.3255,ml
2016/6/6,3178.7883,ml
2016/6/7,3177.0536,mb
2016/6/8,3163.9864,mb
2016/6/13,3066.3413,mb
2016/6/14,3075.9834,mb
2016/6/15,3116.3682,mb
2016/6/16,3094.6748,mb
2016/6/17,3110.3572,mb
2016/6/20,3112.6744,mb
2016/6/21,3106.3175,mb
2016/6/22,3133.9611,mb
2016/6/23,3117.3168,mb
2016/6/24,3077.1554,mb
2016/6/27,3120.5443,mb
2016/6/28,3136.4013,mb
2016/6/29,3151.3898,mb
2016/6/30,3153.921,mb
2016/7/1,3154.2003,mb
2016/7/4,3204.6962,mb
2016/7/5,3207.3827,mb
2016/7/6,3216.8035,mb
2016/7/7,3209.9542,mb
2016/7/8,3192.2804,mb
2016/7/11,3203.3298,mb
2016/7/12,3273.1823,mb
2016/7/13,3282.8681,mb
2016/7/14,3276.7637,mb
2016/7/15,3276.2775,mb
2016/7/18,3262.0222,mb
2016/7/19,3248.2341,mb
2016/7/20,3237.61,mb
2016/7/21,3252.5227,mb
2016/7/22,3225.1621,mb
2016/7/25,3230.885,mb
2016/7/26,3269.5882,mb
2016/7/27,3218.24,mb
2016/7/28,3221.14,mb
2016/7/29,3203.9304,mb
2016/8/1,3176.8091,mb
2016/8/2,3189.0529,mb
2016/8/3,3193.5073,mb
2016/8/4,3201.2888,mb
2016/8/5,3205.1101,mb
2016/8/8,3234.1833,mb
2016/8/9,3256.9813,mb
2016/8/10,3243.3409,mb
2016/8/11,3233.3604,mb
2016/8/12,3294.2337,mb
2016/8/15,3393.4239,mb
2016/8/16,3378.2451,mb
2016/8/17,3373.0476,mb
2016/8/18,3364.4851,mb
2016/8/19,3365.0197,mb
2016/8/22,3336.7949,mb
2016/8/23,3341.8298,mb
2016/8/24,3329.8631,mb
2016/8/25,3308.9721,mb
2016/8/26,3307.09,mb
2016/8/29,3307.7812,mb
2016/8/30,3311.9872,mb
2016/8/31,3327.7938,mb
2016/9/1,3301.5767,mb
2016/9/2,3314.1142,mb
2016/9/5,3319.6803,mb
2016/9/6,3342.6259,mb
2016/9/7,3340.8172,mb
2016/9/8,3339.564,mb
2016/9/9,3318.044,mb
2016/9/12,3262.6043,mb
2016/9/13,3260.333,ml
2016/9/14,3238.7299,ml
2016/9/19,3263.1242,ml
2016/9/20,3257.4034,ml
2016/9/21,3266.6363,ml
2016/9/22,3291.1211,ml
2016/9/23,3275.6665,ml
2016/9/26,3220.2838,ml
2016/9/27,3240.7546,ml
2016/9/28,3230.8904,ml
2016/9/29,3244.3874,ml
2016/9/30,3253.2848,ml
2016/10/10,3293.8689,ml
2016/10/11,3306.5573,ml
2016/10/12,3300.0099,ml
2016/10/13,3302.6455,ml
2016/10/14,3305.8481,ml
2016/10/17,3277.8787,ml
2016/10/18,3321.3324,ml
2016/10/19,3316.2407,mb
2016/10/20,3318.6044,mb
2016/10/21,3327.74,mb
2016/10/24,3367.5778,mb
2016/10/25,3367.4547,mb
2016/10/26,3354.8003,mb
2016/10/27,3345.695,mb
2016/10/28,3340.1262,mb
2016/10/31,3336.2778,mb
2016/11/1,3359.0515,mb
2016/11/2,3333.3524,mb
2016/11/3,3365.085,mb
2016/11/4,3354.1749,mb
2016/11/7,3356.5916,mb
2016/11/8,3371.1177,mb
2016/11/9,3353.0547,mb
2016/11/10,3390.61,mb
2016/11/11,3417.2211,mb
2016/11/14,3430.2482,mb
2016/11/15,3429.8697,mb
2016/11/16,3429.5921,mb
