,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,胜率,收益率
83,5,-1,-5,3,-2,0.530133928571,0.680297250065
84,7,-1,-5,3,-2,0.520089285714,0.922603483687
85,5,-1,-5,4,-2,0.5234375,0.800100734033
86,7,-1,-5,4,-2,0.521205357143,1.07292387612
87,7,-1,-5,5,-2,0.522321428571,1.16600266841
88,9,-1,-5,5,-2,0.520089285714,0.954918098866
89,11,-1,-5,5,-2,0.521205357143,0.16738844673
90,13,-1,-5,5,-2,0.521205357143,0.333044836059
91,5,-1,-5,2,-1,0.5234375,0.451606353528
92,5,-1,-5,3,-1,0.527901785714,0.600978463649
93,7,-1,-5,3,-1,0.5234375,0.843434539055
94,7,-1,-5,4,-1,0.520089285714,0.994694818829
95,9,-1,-5,4,-1,0.5234375,0.873660637537
96,11,-1,-5,4,-1,0.520089285714,0.267390232013
97,13,-1,-5,4,-1,0.521205357143,0.460989690057
98,9,-1,-5,5,-1,0.520089285714,0.824413516433
99,11,-1,-5,5,-1,0.5234375,6.04397314744e-05
100,13,-1,-5,5,-1,0.524553571429,0.169572100331
101,5,-1,-5,2,0,0.525669642857,0.374377902787
102,7,-1,-5,2,0,0.520089285714,0.574655972495
103,9,-1,-5,4,0,0.521205357143,0.753024708871
104,11,-1,-5,4,0,0.520089285714,0.102539458186
105,13,-1,-5,4,2,0.520089285714,-0.0614473677265
106,5,0,-5,2,-5,0.526785714286,0.574944988565
107,7,0,-5,2,-5,0.525669642857,0.768625365599
108,5,0,-5,3,-5,0.530133928571,0.776482529122
109,5,0,-5,4,-5,0.527901785714,0.946915235786
110,5,0,-5,5,-5,0.522321428571,1.09641180766
111,13,0,-5,5,-5,0.525669642857,0.904432685726
112,19,0,-5,5,-5,0.520089285714,0.644966124748
113,5,0,-5,2,-4,0.526785714286,0.559754596133
114,7,0,-5,2,-4,0.525669642857,0.731452070762
115,5,0,-5,3,-4,0.527901785714,0.74977978466
116,5,0,-5,4,-4,0.527901785714,0.922908331982
117,5,0,-5,5,-4,0.520089285714,1.04120292508
118,7,0,-5,5,-4,0.520089285714,1.25438112812
119,13,0,-5,5,-4,0.521205357143,0.710784463052
120,15,0,-5,5,-4,0.520089285714,0.580042063971
121,5,0,-5,2,-3,0.524553571429,0.53016733496
122,7,0,-5,2,-3,0.520089285714,0.694641741207
123,5,0,-5,3,-3,0.527901785714,0.726053939852
124,5,0,-5,4,-3,0.526785714286,0.867989344323
125,7,0,-5,4,-3,0.522321428571,1.09675749203
126,5,0,-5,5,-3,0.520089285714,0.975879973587
127,7,0,-5,5,-3,0.520089285714,1.20905713864
128,13,0,-5,5,-3,0.521205357143,0.529011317987
129,5,0,-5,2,-2,0.524553571429,0.506716504661
130,5,0,-5,3,-2,0.529017857143,0.671418415131
131,5,0,-5,4,-2,0.5234375,0.793210303367
132,7,0,-5,4,-2,0.522321428571,1.03459530015
133,7,0,-5,5,-2,0.521205357143,1.12653072382
134,9,0,-5,5,-2,0.522321428571,0.930707802244
135,11,0,-5,5,-2,0.520089285714,0.140385564424
136,13,0,-5,5,-2,0.522321428571,0.35205880718
137,5,0,-5,2,-1,0.522321428571,0.442687230206
138,5,0,-5,3,-1,0.526785714286,0.592099628715
139,7,0,-5,3,-1,0.522321428571,0.818528460423
140,7,0,-5,4,-1,0.521205357143,0.95636624286
141,9,0,-5,4,-1,0.522321428571,0.849626803121
142,13,0,-5,4,-1,0.520089285714,0.476909704118
143,9,0,-5,5,-1,0.522321428571,0.800203219812
144,11,0,-5,5,-1,0.522321428571,-0.0269424425742
145,13,0,-5,5,-1,0.525669642857,0.188586071452
146,5,0,-5,2,0,0.524553571429,0.365458779465
147,9,0,-5,4,0,0.520089285714,0.728990874455
148,11,1,-5,1,-5,0.522321428571,0.676056705634
149,5,1,-5,2,-5,0.526785714286,0.644257952414
150,7,1,-5,2,-5,0.527901785714,0.848684012205
151,9,1,-5,2,-5,0.522321428571,0.97804392661
152,5,1,-5,3,-5,0.532366071429,0.845562993768
153,7,1,-5,3,-5,0.522321428571,1.0438202807
154,9,1,-5,3,-5,0.520089285714,1.16976513512
155,11,1,-5,3,-5,0.5234375,1.00104039971
156,13,1,-5,3,-5,0.521205357143,1.25197537172
157,19,1,-5,3,-5,0.520089285714,1.54067679767
158,5,1,-5,4,-5,0.529017857143,1.00226048817
159,7,1,-5,4,-5,0.521205357143,1.21287662489
160,9,1,-5,4,-5,0.524553571429,1.28481030019
161,11,1,-5,4,-5,0.521205357143,0.926271612486
162,13,1,-5,4,-5,0.520089285714,1.22752935318
163,15,1,-5,4,-5,0.5234375,1.28378718605
164,17,1,-5,4,-5,0.5234375,0.96453676771
165,5,1,-5,5,-5,0.525669642857,1.13783546234
166,7,1,-5,5,-5,0.521205357143,1.34441477875
167,9,1,-5,5,-5,0.524553571429,1.25470122725
168,11,1,-5,5,-5,0.521205357143,0.738292658593
169,13,1,-5,5,-5,0.532366071429,1.03992364834
170,15,1,-5,5,-5,0.520089285714,0.894884902134
171,17,1,-5,5,-5,0.520089285714,0.324081926065
172,19,1,-5,5,-5,0.521205357143,0.682857230567
173,11,1,-5,1,-4,0.522321428571,0.642489599459
174,5,1,-5,2,-4,0.526785714286,0.629067559982
175,7,1,-5,2,-4,0.527901785714,0.811510717368
176,9,1,-5,2,-4,0.520089285714,0.91244889635
177,13,1,-5,2,-4,0.521205357143,1.08076471857
178,15,1,-5,2,-4,0.522321428571,1.16854860007
179,5,1,-5,3,-4,0.530133928571,0.818860249306
180,7,1,-5,3,-4,0.522321428571,1.01280428249
181,17,1,-5,3,-4,0.522321428571,1.12248037423
182,19,1,-5,3,-4,0.520089285714,1.44396925438
183,5,1,-5,4,-4,0.529017857143,0.978253584367
184,7,1,-5,4,-4,0.521205357143,1.18685069538
185,9,1,-5,4,-4,0.524553571429,1.19153973199
186,11,1,-5,4,-4,0.521205357143,0.816104176
187,13,1,-5,4,-4,0.520089285714,1.12762822539
188,15,1,-5,4,-4,0.524553571429,1.14819558284
189,17,1,-5,4,-4,0.5234375,0.844507095306
190,19,1,-5,4,-4,0.520089285714,1.19638058406
191,5,1,-5,5,-4,0.5234375,1.08262657976
192,7,1,-5,5,-4,0.5234375,1.3176808709
193,9,1,-5,5,-4,0.5234375,1.17299735597
194,11,1,-5,5,-4,0.522321428571,0.547879746559
195,13,1,-5,5,-4,0.527901785714,0.84627542567
196,15,1,-5,5,-4,0.524553571429,0.74433268899
197,17,1,-5,5,-4,0.521205357143,0.179004060782
198,5,1,-5,2,-3,0.524553571429,0.599480298809
199,7,1,-5,2,-3,0.522321428571,0.774700387813
